Role ID,Division Code,Role Name,Default SoW Summary,Self-Study,Status
ROLE_ASR_22,ASR,Co/Asisten Musyrif,"Mendampingi rutinitas santri di asrama; menjaga adab, kedisiplinan, dan ketertiban kamar; melaporkan kondisi santri.",Ri’ayah santri; discipline with rahmah; reporting adab.,Active
ROLE_ASR_23,ASR,Asisten Kamar,"Menghidupkan budaya kamar yang tertib, bersih, dan kondusif; mengingatkan jadwal ibadah, belajar, istirahat, dan kebersihan.",Room habit system; cleanliness checklist; peer leadership.,Active
ROLE_ASR_24,ASR,Asisten Kegiatan Asrama,"Membantu agenda asrama seperti halaqah, sharing, evaluasi kamar, kegiatan malam; menyiapkan kebutuhan teknis; mencatat kehadiran.",Event support; halaqah notes; simple facilitation.,Active
ROLE_ASR_25,ASR,Ri’ayah Santri Assistant,"Memantau santri yang membutuhkan perhatian; menyampaikan kendala kepada musyrif/PIC; menjaga komunikasi lembut, amanah, tidak membuka aib.",Basic counseling adab; confidentiality; escalation flow.,Active
ROLE_OPS_26,OPS,Administration,"Mengelola dokumen, surat, arsip, dan data unit; input data sesuai arahan; menjaga kerapian folder dan SOP administrasi.",Document management; spreadsheet basics; SOP.,Active
ROLE_OPS_27,OPS,Customer Service,Menjawab pertanyaan tamu/wali/stakeholder sesuai SOP; meneruskan pertanyaan yang butuh keputusan; menjaga adab komunikasi dan hospitality.,Hospitality; communication scripts; escalation.,Active
ROLE_OPS_28,OPS,Front Office,Menjadi titik layanan awal bagi tamu/kebutuhan unit; mencatat kunjungan/pesan/informasi; menjaga area depan representatif.,Reception workflow; visitor log; service etiquette.,Active
ROLE_OPS_29,OPS,Sarpras,"Mengecek inventaris, perlengkapan, dan fasilitas; mencatat kebutuhan perbaikan/pengadaan; mendukung kesiapan ruang dan alat.",Asset management; maintenance log; basic K3.,Active
ROLE_OPS_30,OPS,Logistic/Event Support,"Membantu persiapan teknis kegiatan, tempat, alat, konsumsi, alur acara; memastikan kebutuhan tersedia; beres-beres/evaluasi pasca-acara.",Event checklist; logistic planning; execution discipline.,Active
ROLE_OPS_31,OPS,Data Entry/Admin Support,Input dan validasi data operasional; memastikan data tidak dobel/salah; membuat rekap sederhana sesuai kebutuhan PIC/unit.,Data hygiene; validation; simple reporting.,Active
ROLE_PKBM_32,PKBM,BOS Operator,"Membantu input, rekap, dan pengecekan data BOS sesuai arahan PIC; menjaga dokumen pendukung; memastikan data siap diverifikasi.",BOS regulations; documentation; accuracy.,Active
ROLE_PKBM_33,PKBM,ARKAS Operator,Membantu input dan pelaporan ARKAS; mencocokkan data anggaran dengan dokumen pendukung; mencatat kendala sistem/data.,ARKAS workflow; budget documentation; finance admin basics.,Active
ROLE_PKBM_34,PKBM,SIMBOS Operator,Input/update data SIMBOS; memastikan data siswa/program tersusun rapi; rekap status pengisian dan follow-up.,SIMBOS workflow; education data compliance.,Active
ROLE_PKBM_35,PKBM,PKBM Data/Admin Support,"Administrasi umum PKBM; mengelola folder dokumen, rekap, dan tracking tugas; mendukung laporan rutin PKBM.",PKBM admin cycle; data tracking; compliance mindset.,Active
